,EOS
973,309.0
974,307.0
975,269.0
976,449.0
977,276.0
978,319.0
979,235.0
980,328.0
981,279.0
982,301.0
983,505.0
984,282.0
985,290.0
986,309.0
987,281.0
988,297.0
989,412.0
990,342.0
991,307.0
992,378.0
993,225.0
994,209.0
995,184.0
996,171.0
997,243.0
998,236.0
999,208.0
1000,216.0
1001,290.0
1002,309.0
1003,245.0
1004,195.0
1005,415.0
1006,311.0
1007,291.0
1008,360.0
1009,331.0
1010,209.0
1011,358.0
1012,367.0
1013,269.0
1014,223.0
1015,280.0
1016,289.0
1017,262.0
1018,243.0
1019,254.0
1020,290.0
1021,356.0
1022,338.0
1023,311.0
1024,328.0
1025,307.0
1026,341.0
1027,304.0
1028,285.0
1029,228.0
1030,223.0
1031,234.0
1032,189.0
1033,233.0
1034,260.0
1035,228.0
1036,243.0
1037,232.0
1038,224.0
1039,251.0
1040,269.0
1041,219.0
1042,
1043,243.0
1044,145.0
1045,200.0
1046,249.0
1047,261.0
1048,261.0
1049,208.0
1050,218.0
1051,106.0
1052,234.0
1053,225.0
1054,281.0
1055,325.0
1056,310.0
1057,358.0
1058,308.0
1059,299.0
1060,306.0
1061,300.0
1062,325.0
1063,302.0
1064,308.0
1065,309.0
1066,317.0
1067,308.0
1068,300.0
1069,309.0
1070,289.0
1071,307.0
1072,309.0
1073,
1074,414.0
1075,378.0
1076,382.0
1077,456.0
1078,565.0
1079,442.0
1080,555.0
1081,529.0
1082,420.0
1083,552.0
1084,589.0
1085,329.0
1086,602.0
1087,565.0
1088,542.0
1089,601.0
1090,370.0
1091,398.0
1092,474.0
1093,530.0
1094,530.0
1095,342.0
1096,510.0
1097,531.0
1098,508.0
1099,509.0
1100,613.0
1101,543.0
1102,532.0
1103,424.0
1104,466.0
1105,368.0
1106,466.0
1107,354.0
1108,734.0
1109,613.0
1110,566.0
1111,533.0
1112,543.0
1113,564.0
1114,543.0
1115,510.0
1116,473.0
1117,477.0
1118,590.0
1119,589.0
1120,543.0
1121,555.0
1122,478.0
1123,462.0
1124,521.0
1125,499.0
1126,456.0
1127,424.0
1128,531.0
1129,429.0
1130,414.0
1131,408.0
1132,378.0
1133,352.0
1134,529.0
1135,337.0
1136,337.0
1137,342.0
1138,496.0
1139,335.0
1140,335.0
1141,479.0
1142,534.0
1143,534.0
1144,566.0
1145,534.0
